Name,Height,FederalStateid,Picture
Breitenberg,970,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Breitenberg_Rotspitze_Entschenkopf.jpg/1000px-Breitenberg_Rotspitze_Entschenkopf.jpg
Brandstein,741,8,https://upload.wikimedia.org/wikipedia/en/2/26/MattBrandstein.jpg
Salcherberg,1025,8,
Tannberg,918,4,https://upload.wikimedia.org/wikipedia/commons/d/df/Lech_village_2005.jpg
Imitzberg,1104,4,
Scheiblingstein,2052,8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Ardning_Scheiblingstein.jpg/1000px-Ardning_Scheiblingstein.jpg
Großer Warschenberg,1295,8,
Kalbling,2014,8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Admonter_Reichenstein_2.jpg/1000px-Admonter_Reichenstein_2.jpg
Kleeriedel,1127,8,
Höllensteinberg,638,5,
Vierjochkogel,649,5,
Buchkogel,634,5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Buchkogel_04.jpg/1000px-Buchkogel_04.jpg
Badner Lindkogel,578,5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Baden_Panorama_01.jpg/1000px-Baden_Panorama_01.jpg
Schober,1512,8,https://upload.wikimedia.org/wikipedia/commons/d/d1/Central_Eastern_Alps.png
Wirtsspitz,1969,8,
Seyfriedberg,1317,8,
Steinermandl,1951,8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Start_zum_Red_Bull_Dolomitenmann.jpg/1000px-Start_zum_Red_Bull_Dolomitenmann.jpg
Schleifkogel,1879,8,
Hohes Kampeck,1326,3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Hochschwab_Schoeckl_2.jpg/1000px-Hochschwab_Schoeckl_2.jpg
Rettenzink,2265,3,
Geißstein,2056,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Gei%C3%9Fstein.jpg/1000px-Gei%C3%9Fstein.jpg
Tristinger,2134,3,
Königsstuhl,2336,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/K%C3%B6nigsstuhl_R%C3%BCgen_2012.JPG/1000px-K%C3%B6nigsstuhl_R%C3%BCgen_2012.JPG
Peilstein,1947,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Peilstein_-_Ortsansicht.jpg/1000px-Peilstein_-_Ortsansicht.jpg
Hohe Kammer,2531,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Rh%C3%B6n_von_Norden.jpg/1000px-Rh%C3%B6n_von_Norden.jpg
