Name,Height,FederalStateid
Breitenberg,970,4
Brandstein,741,8
Salcherberg,1025,8
Tannberg,918,4
Imitzberg,1104,4
Scheiblingstein,2052,8
Großer Warschenberg,1295,8
Kalbling,2014,8
Kleeriedel,1127,8
Höllensteinberg,638,5
Vierjochkogel,649,5
Buchkogel,634,5
Badner Lindkogel,578,5
Schober,1512,8
Wirtsspitz,1969,8
Seyfriedberg,1317,8
Steinermandl,1951,8
Schleifkogel,1879,8
Hohes Kampeck,1326,3
Rettenzink,2265,3
Geißstein,2056,3
Tristinger,2134,3
Königsstuhl,2336,3
Peilstein,1947,3
Hohe Kammer,2531,3
Kleiner Tenn,2641,3
Kastenegg,2647,2
Figerhorn,2657,2
Radingberg,613,4
Tamberg,1494,4
Hutberg,1167,4
Mitterberg,1538,4
Zamseggerkogel,941,4
Sattelkoppen,1983,8
Schönberg,1810,8
Zoderberg,1802,8
Schafberg,1727,8
Leistenstein,1433,8
Kirchdorfberg,1305,8
Glatzeck,997,4
Gstättenberg,670,4
Brennetgupf,670,4
Vorderer Raucher,1609,8
Hinterer Raucher,1547,8
Schafberg,1273,8
Kufberg,706,4
Lauffner Berg,526,4
Pötschenstein,1077,8
Tauern,969,4
Hoher Rosenkogel,1218,4
Mitterberg,1101,4
Feuerkogel,1276,4
Hoher Raschberg,1276,4
Ahornkogel,1368,8
Tressenstein,959,8
Dimmelberg,969,8
Gosaueck,1120,4
Rauer Koppen,1572,8
Hoher Koppen,1285,4
Hohe Sieg,1082,4
Hageneck,1239,4
Tauernkogel,1947,3
Zetzenbergkogel,671,3
Gschirrhörndl,1690,3
Klobner Kopf,2187,3
Kirchstein,2001,3
Hirschkogel,1413,3
Feuersengköpfl,688,3
Frommer Kogel,1635,3
Ladenberg,1708,3
Schwarzkogel,1307,3
Schwarzenegg,1521,3
Ochsenkopf,1428,3
Gamskarkogel,1888,3
Plattenkopf,907,3
Torsäule,2649,3
Buchberg,827,3
Gamsleitenkopf,1896,3
Faistalkopf,1470,3
Tiefentalköderl,1569,3
Brennerköpfl,1216,3
Oberes Gründeck,1259,3
Filzkogel,1715,3
Zederbergkopf,1208,3
Grindkogel,1739,3
Sonntagskogel,1739,3
Kitzsteinhörndl,1790,3
Tennkogel,1618,3
Eßkopf,1618,3
Schober,2037,3
Sandkogel,2037,3
Schiedreitspitz,2037,3
Luxkogel,1801,3
Zirmstein,1620,3
Penkkopf,1981,3
Zwieselkopf,1503,3
Austuhl,1907,3
Hochegg,1907,3
Arlspitze,1907,3
Urkübl,1886,3
Gasteiner Höhe,1717,3
Hörndl,1505,3
Karriedel,1871,3
Schwalbenfelsen,403,5
Binderberg,318,5
Gerichtsberg,452,5
Hohe Sulz,382,5
Gollitsch,248,5
Schafberg,473,5
Arzberg,469,5
Hufnagelberg,475,5
Kreuzberg,488,5
Kirchberg,512,5
Kreuzberg,497,5
Goggitschberg,471,5
Kohlberg,489,5
Prutzenberg,425,5
Halterberg,536,5
Hoher Punkt,549,5
Scheibenkogel,528,5
Buchberg,505,5
Klumetzberg,469,5
Wetzlesberg,535,5
Jasweinberg,510,5
Zemmendorfer Berg,519,5
Schlagberg,524,5
Jungfrauenberg,581,5
Speisenberg,473,5
Hoher Stein,539,5
Amerexel,592,5
Pyhringer Höhe,676,5
Loosberg,632,5
Predigtstuhl,714,5
Satzling,628,5
Galgenberg,531,5
Schloßberg,522,5
Kalkberg,594,5
Hoher Stein,666,5
Pyramide,647,5
Mühlberg,645,5
Gerichtsberg,545,5
Harlüßberg,485,5
Steinberg,590,5
Burgstallberg,585,5
Neuteichberg,612,5
Birkenberg,545,5
Buchberg,577,5
Lußberg,545,5
Galgenberg,583,5
Hausberg,581,5
Hofbauernberg,581,5
Hoher Berg,550,5
Machoberg,545,5
Teichberg,531,5
Hörmannsberg,557,5
Teichberg,557,5
Haselberg,557,5
Schindelberg,652,5
Sengerberg,436,8
Harrachberg,324,8
Grubberg,392,8
Reithberg,439,8
Berghanselberg,301,8
Traubenberg,409,8
Wagenhoferberg,379,8
Mayerhanselberg,379,8
Lamberg,381,8
Hamberg,413,8
Bloderberg,310,8
