Name,Height,FederalStateid,Picture
Breitenberg,970,4,
Brandstein,741,8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Brandstein_014.JPG/1000px-Brandstein_014.JPG
Salcherberg,1025,8,
Tannberg,918,4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tannberg_from_Wallersee_02.jpg/1000px-Tannberg_from_Wallersee_02.jpg
Imitzberg,1104,4,
Scheiblingstein,2052,8,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Scheiblingstein_02.jpg/1000px-Scheiblingstein_02.jpg
Großer Warschenberg,1295,8,
Kalbling,2014,8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Admonter_Kaibling%2C_Fr%C3%BChjahr_2011.jpg/1000px-Admonter_Kaibling%2C_Fr%C3%BChjahr_2011.jpg
Kleeriedel,1127,8,
Höllensteinberg,638,5,
Vierjochkogel,649,5,https://upload.wikimedia.org/wikipedia/commons/5/59/Anninger.jpg
Buchkogel,634,5,
Badner Lindkogel,578,5,
Schober,1512,8,
Wirtsspitz,1969,8,
Seyfriedberg,1317,8,
Steinermandl,1951,8,
Schleifkogel,1879,8,
Hohes Kampeck,1326,3,
Rettenzink,2265,3,
Geißstein,2056,3,
Tristinger,2134,3,
Königsstuhl,2336,3,
Peilstein,1947,3,
Hohe Kammer,2531,3,
Kleiner Tenn,2641,3,
Kastenegg,2647,2,
Figerhorn,2657,2,
Radingberg,613,4,
Tamberg,1494,4,
Hutberg,1167,4,
Mitterberg,1538,4,
Zamseggerkogel,941,4,
Sattelkoppen,1983,8,
Schönberg,1810,8,
Zoderberg,1802,8,
Schafberg,1727,8,
Leistenstein,1433,8,
Kirchdorfberg,1305,8,
Glatzeck,997,4,
Gstättenberg,670,4,
Brennetgupf,670,4,
Vorderer Raucher,1609,8,
Hinterer Raucher,1547,8,
Schafberg,1273,8,
Kufberg,706,4,
Lauffner Berg,526,4,
Pötschenstein,1077,8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/P%C3%B6tschenstein.jpg/1000px-P%C3%B6tschenstein.jpg
Tauern,969,4,
Hoher Rosenkogel,1218,4,
Mitterberg,1101,4,
Feuerkogel,1276,4,
Hoher Raschberg,1276,4,
Ahornkogel,1368,8,
Tressenstein,959,8,
Dimmelberg,969,8,
Gosaueck,1120,4,
Rauer Koppen,1572,8,
Hoher Koppen,1285,4,
Hohe Sieg,1082,4,
Hageneck,1239,4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Hagueneck_cropped.jpg/1000px-Hagueneck_cropped.jpg
Tauernkogel,1947,3,
Zetzenbergkogel,671,3,
Gschirrhörndl,1690,3,
Klobner Kopf,2187,3,
Kirchstein,2001,3,
Hirschkogel,1413,3,
Feuersengköpfl,688,3,
Frommer Kogel,1635,3,
Ladenberg,1708,3,
Schwarzkogel,1307,3,
Schwarzenegg,1521,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Kanton_Bern_-_Unterlangenegg_westw%C3%A4rts.jpg/1000px-Kanton_Bern_-_Unterlangenegg_westw%C3%A4rts.jpg
Ochsenkopf,1428,3,
